Entity,Code,Year,Low-carbon energy (TWh - equivalent)
Argentina,ARG,1976,22.321705
Argentina,ARG,1977,21.90163
Argentina,ARG,1978,31.328323
Argentina,ARG,1979,39.454174
Argentina,ARG,1980,51.72729
Argentina,ARG,1981,51.690998
Argentina,ARG,1982,57.693104
Argentina,ARG,1983,64.61979
Argentina,ARG,1984,72.314606
Argentina,ARG,1985,77.81526
Argentina,ARG,1986,78.78706
Argentina,ARG,1987,83.47794
Argentina,ARG,1988,61.965553
Argentina,ARG,1989,53.63159
Argentina,ARG,1990,73.46225
Argentina,ARG,1991,69.35118
Argentina,ARG,1992,77.178345
Argentina,ARG,1993,92.579796
Argentina,ARG,1994,104.369385
Argentina,ARG,1995,98.8009
Argentina,ARG,1996,88.35393
Argentina,ARG,1997,105.77618
Argentina,ARG,1998,100.19249
Argentina,ARG,1999,84.37274
Argentina,ARG,2000,103.35917
Argentina,ARG,2001,128.66866
Argentina,ARG,2002,122.642746
Argentina,ARG,2003,122.11896
Argentina,ARG,2004,112.51981
Argentina,ARG,2005,119.99127
Argentina,ARG,2006,132.78883
Argentina,ARG,2007,111.554405
Argentina,ARG,2008,111.57905
Argentina,ARG,2009,122.50644
Argentina,ARG,2010,122.18726
Argentina,ARG,2011,116.16267
Argentina,ARG,2012,112.88376
Argentina,ARG,2013,123.60213
Argentina,ARG,2014,122.500595
Argentina,ARG,2015,126.79021
Argentina,ARG,2016,122.23044
Argentina,ARG,2017,124.39411
Argentina,ARG,2018,128.98944
Argentina,ARG,2019,131.81279
Argentina,ARG,2020,132.30571
Argentina,ARG,2021,134.17873
Argentina,ARG,2022,144.1551
Argentina,ARG,2023,166.1483
Asia,,1965,422.96127
Asia,,1966,442.77267
Asia,,1967,414.09982
Asia,,1968,461.22037
Asia,,1969,480.8365
Asia,,1970,504.29868
Asia,,1971,558.83466
Asia,,1972,581.57263
Asia,,1973,547.0232
Asia,,1974,646.60516
Asia,,1975,708.46344
Asia,,1976,752.77216
Asia,,1977,732.8227
Asia,,1978,860.02576
Asia,,1979,960.9315
Asia,,1980,1057.6779
Asia,,1981,1134.9958
Asia,,1982,1204.6969
Asia,,1983,1316.5615
Asia,,1984,1407.0308
Asia,,1985,1682.855
Asia,,1986,1732.3899
Asia,,1987,1889.7451
Asia,,1988,2009.1667
Asia,,1989,2074.4526
Asia,,1990,2185.4644
Asia,,1991,2256.7756
Asia,,1992,2290.7185
Asia,,1993,2536.0938
Asia,,1994,2602.5806
Asia,,1995,2844.329
Asia,,1996,2899.9297
Asia,,1997,2984.7175
Asia,,1998,3138.637
Asia,,1999,3129.8645
Asia,,2000,3231.3857
Asia,,2001,3367.5186
Asia,,2002,3454.0278
Asia,,2003,3357.483
Asia,,2004,3883.9817
Asia,,2005,4033.4126
Asia,,2006,4314.273
Asia,,2007,4390.273
Asia,,2008,4740.537
Asia,,2009,4780.7295
Asia,,2010,5378.083
Asia,,2011,5252.422
Asia,,2012,5436.041
Asia,,2013,5923.4834
Asia,,2014,6542.894
Asia,,2015,7031.646
Asia,,2016,7646.046
Asia,,2017,8279.0625
Asia,,2018,9091.345
Asia,,2019,10098.815
Asia,,2020,10703.306
Asia,,2021,11750.026
Asia,,2022,12781.646
Asia,,2023,13589.095
Asia Pacific (EI),,1965,466.39594
Asia Pacific (EI),,1966,486.37418
Asia Pacific (EI),,1967,457.9536
Asia Pacific (EI),,1968,505.04794
Asia Pacific (EI),,1969,524.7897
Asia Pacific (EI),,1970,556.202
Asia Pacific (EI),,1971,620.4897
Asia Pacific (EI),,1972,641.7892
Asia Pacific (EI),,1973,613.1819
Asia Pacific (EI),,1974,715.21826
Asia Pacific (EI),,1975,775.29443
Asia Pacific (EI),,1976,804.09705
Asia Pacific (EI),,1977,776.59534
Asia Pacific (EI),,1978,899.88916
Asia Pacific (EI),,1979,1005.1837
Asia Pacific (EI),,1980,1099.2092
Asia Pacific (EI),,1981,1173.3829
Asia Pacific (EI),,1982,1230.8293
Asia Pacific (EI),,1983,1354.3317
Asia Pacific (EI),,1984,1443.4111
Asia Pacific (EI),,1985,1606.783
Asia Pacific (EI),,1986,1679.8359
Asia Pacific (EI),,1987,1792.056
Asia Pacific (EI),,1988,1856.2161
Asia Pacific (EI),,1989,1982.4819
Asia Pacific (EI),,1990,2063.716
Asia Pacific (EI),,1991,2152.5452
Asia Pacific (EI),,1992,2150.1616
Asia Pacific (EI),,1993,2361.566
Asia Pacific (EI),,1994,2448.2246
Asia Pacific (EI),,1995,2691.0645
Asia Pacific (EI),,1996,2722.1934
Asia Pacific (EI),,1997,2822.0417
Asia Pacific (EI),,1998,2974.2798
Asia Pacific (EI),,1999,2989.8462
Asia Pacific (EI),,2000,3106.2266
Asia Pacific (EI),,2001,3253.8752
Asia Pacific (EI),,2002,3302.8613
Asia Pacific (EI),,2003,3182.7788
Asia Pacific (EI),,2004,3679.1743
Asia Pacific (EI),,2005,3837.6804
Asia Pacific (EI),,2006,4103.245
Asia Pacific (EI),,2007,4203.003
Asia Pacific (EI),,2008,4613.087
Asia Pacific (EI),,2009,4655.752
Asia Pacific (EI),,2010,5183.917
Asia Pacific (EI),,2011,5077.9487
Asia Pacific (EI),,2012,5224.636
Asia Pacific (EI),,2013,5704.173
Asia Pacific (EI),,2014,6380.5703
Asia Pacific (EI),,2015,6805.497
Asia Pacific (EI),,2016,7392.336
Asia Pacific (EI),,2017,8008.7397
Asia Pacific (EI),,2018,8842.309
Asia Pacific (EI),,2019,9684.196
Asia Pacific (EI),,2020,10340.746
Asia Pacific (EI),,2021,11446.631
Asia Pacific (EI),,2022,12406.804
Asia Pacific (EI),,2023,13139.722
Australia,AUS,1965,23.683418
Australia,AUS,1966,22.625797
Australia,AUS,1967,23.41597
Australia,AUS,1968,24.409746
Australia,AUS,1969,26.575861
Australia,AUS,1970,30.907778
Australia,AUS,1971,34.866936
Australia,AUS,1972,35.056843
Australia,AUS,1973,37.40806
Australia,AUS,1974,42.39449
Australia,AUS,1975,45.584057
Australia,AUS,1976,43.397835
Australia,AUS,1977,41.418774
Australia,AUS,1978,44.687695
Australia,AUS,1979,43.459774
Australia,AUS,1980,41.049583
Australia,AUS,1981,42.29228
Australia,AUS,1982,39.408916
Australia,AUS,1983,37.225334
Australia,AUS,1984,40.22105
Australia,AUS,1985,42.677586
Australia,AUS,1986,42.94255
Australia,AUS,1987,41.756184
Australia,AUS,1988,44.720295
Australia,AUS,1989,44.73363
Australia,AUS,1990,46.068165
Australia,AUS,1991,48.60014
Australia,AUS,1992,49.313396
Australia,AUS,1993,50.644047
Australia,AUS,1994,50.046463
Australia,AUS,1995,48.939106
Australia,AUS,1996,50.3365
Australia,AUS,1997,50.466812
Australia,AUS,1998,50.323784
Australia,AUS,1999,52.009785
Australia,AUS,2000,52.065205
Australia,AUS,2001,50.915432
Australia,AUS,2002,52.75004
Australia,AUS,2003,54.63819
Australia,AUS,2004,56.691235
Australia,AUS,2005,60.8362
Australia,AUS,2006,62.266647
Australia,AUS,2007,59.896095
Australia,AUS,2008,56.388546
Australia,AUS,2009,59.178158
Australia,AUS,2010,65.073265
Australia,AUS,2011,88.660194
Australia,AUS,2012,87.37707
Australia,AUS,2013,101.3024
Australia,AUS,2014,93.46402
Australia,AUS,2015,100.612686
Australia,AUS,2016,115.454475
Australia,AUS,2017,108.02024
Australia,AUS,2018,134.56264
Australia,AUS,2019,149.09814
Australia,AUS,2020,171.95815
Australia,AUS,2021,205.37114
Australia,AUS,2022,231.18643
Australia,AUS,2023,250.57594
Austria,AUT,1965,47.55726
Austria,AUT,1966,51.24758
Austria,AUT,1967,52.332794
Austria,AUT,1968,53.772846
Austria,AUT,1969,49.434944
Austria,AUT,1970,62.953415
Austria,AUT,1971,49.736855
Austria,AUT,1972,51.119247
Austria,AUT,1973,56.801395
Austria,AUT,1974,67.15973
Austria,AUT,1975,70.362144
Austria,AUT,1976,60.81226
Austria,AUT,1977,73.69054
Austria,AUT,1978,73.74968
Austria,AUT,1979,83.08193
Austria,AUT,1980,86.07766
Austria,AUT,1981,91.215126
Austria,AUT,1982,91.36002
Austria,AUT,1983,90.502495
Austria,AUT,1984,79.393875
Austria,AUT,1985,94.01306
Austria,AUT,1986,95.49254
Austria,AUT,1987,107.533455
Austria,AUT,1988,107.735916
Austria,AUT,1989,107.26399
Austria,AUT,1990,96.81882
Austria,AUT,1991,96.89091
Austria,AUT,1992,107.289314
Austria,AUT,1993,112.88583
Austria,AUT,1994,109.453995
Austria,AUT,1995,115.54192
Austria,AUT,1996,106.26825
Austria,AUT,1997,112.29108
Austria,AUT,1998,115.91307
Austria,AUT,1999,125.60124
Austria,AUT,2000,128.79314
Austria,AUT,2001,124.69361
Austria,AUT,2002,122.887146
Austria,AUT,2003,102.89612
Austria,AUT,2004,115.224846
Austria,AUT,2005,118.60131
Austria,AUT,2006,119.788445
Austria,AUT,2007,127.06864
Austria,AUT,2008,130.64621
Austria,AUT,2009,138.42775
Austria,AUT,2010,132.00879
Austria,AUT,2011,119.97084
Austria,AUT,2012,148.19759
Austria,AUT,2013,145.06744
Austria,AUT,2014,143.35689
Austria,AUT,2015,135.85786
Austria,AUT,2016,144.62651
Austria,AUT,2017,143.87679
Austria,AUT,2018,140.33507
Austria,AUT,2019,151.81024
Austria,AUT,2020,152.81035
Austria,AUT,2021,145.50218
Austria,AUT,2022,136.96956
Austria,AUT,2023,154.23291
Azerbaijan,AZE,1985,3.881231
Azerbaijan,AZE,1986,2.3783975
Azerbaijan,AZE,1987,2.3783975
Azerbaijan,AZE,1988,2.0647626
Azerbaijan,AZE,1989,2.0647626
Azerbaijan,AZE,1990,4.902688
Azerbaijan,AZE,1991,5.2022314
Azerbaijan,AZE,1992,5.166747
Azerbaijan,AZE,1993,7.173656
Azerbaijan,AZE,1994,5.41129
Azerbaijan,AZE,1995,4.601075
Azerbaijan,AZE,1996,4.5448923
Azerbaijan,AZE,1997,5.0623655
Azerbaijan,AZE,1998,5.769086
Azerbaijan,AZE,1999,4.453226
Azerbaijan,AZE,2000,4.5360217
Azerbaijan,AZE,2001,3.822062
Azerbaijan,AZE,2002,5.8960457
Azerbaijan,AZE,2003,7.163306
Azerbaijan,AZE,2004,7.938951
Azerbaijan,AZE,2005,8.617157
Azerbaijan,AZE,2006,7.164729
Azerbaijan,AZE,2007,6.684496
Azerbaijan,AZE,2008,6.27205
Azerbaijan,AZE,2009,6.452561
Azerbaijan,AZE,2010,9.566865
Azerbaijan,AZE,2011,7.3816075
Azerbaijan,AZE,2012,4.9930644
Azerbaijan,AZE,2013,4.2766576
Azerbaijan,AZE,2014,3.8128233
Azerbaijan,AZE,2015,4.7246885
Azerbaijan,AZE,2016,5.6791754
Azerbaijan,AZE,2017,5.077308
Azerbaijan,AZE,2018,5.2592063
Azerbaijan,AZE,2019,4.831787
Azerbaijan,AZE,2020,3.504816
Azerbaijan,AZE,2021,4.034253
Azerbaijan,AZE,2022,4.8638334
Azerbaijan,AZE,2023,5.28993
Bangladesh,BGD,1971,0.51747304
Bangladesh,BGD,1972,0.51747304
Bangladesh,BGD,1973,0.9787633
Bangladesh,BGD,1974,0.71854836
Bangladesh,BGD,1975,1.2892472
Bangladesh,BGD,1976,1.4607527
Bangladesh,BGD,1977,1.2922041
Bangladesh,BGD,1978,1.4962367
Bangladesh,BGD,1979,1.7357528
Bangladesh,BGD,1980,1.7239248
Bangladesh,BGD,1981,1.8481183
Bangladesh,BGD,1982,1.5465052
Bangladesh,BGD,1983,1.9575269
Bangladesh,BGD,1984,2.6524193
Bangladesh,BGD,1985,2.185215
Bangladesh,BGD,1986,1.330645
Bangladesh,BGD,1987,1.5287633
Bangladesh,BGD,1988,1.9959676
Bangladesh,BGD,1989,2.7204301
Bangladesh,BGD,1990,2.6139784
Bangladesh,BGD,1991,2.477957
Bangladesh,BGD,1992,2.3537633
Bangladesh,BGD,1993,1.7978494
Bangladesh,BGD,1994,2.5045698
Bangladesh,BGD,1995,1.0999999
Bangladesh,BGD,1996,2.185215
Bangladesh,BGD,1997,2.1260753
Bangladesh,BGD,1998,2.557796
Bangladesh,BGD,1999,2.463172
Bangladesh,BGD,2000,2.2148144
Bangladesh,BGD,2001,2.9172647
Bangladesh,BGD,2002,2.1863997
Bangladesh,BGD,2003,2.1746578
Bangladesh,BGD,2004,2.1638727
Bangladesh,BGD,2005,2.1544383
Bangladesh,BGD,2006,2.1512196
Bangladesh,BGD,2007,2.1479938
Bangladesh,BGD,2008,2.7204566
Bangladesh,BGD,2009,1.2498218
Bangladesh,BGD,2010,2.162408
Bangladesh,BGD,2011,2.7634895
Bangladesh,BGD,2012,2.5758784
Bangladesh,BGD,2013,2.5331635
Bangladesh,BGD,2014,2.1810966
Bangladesh,BGD,2015,3.1598396
Bangladesh,BGD,2016,2.9824686
Bangladesh,BGD,2017,3.541136
Bangladesh,BGD,2018,3.148344
Bangladesh,BGD,2019,3.1808722
Bangladesh,BGD,2020,3.0710924
Bangladesh,BGD,2021,3.4130087
Bangladesh,BGD,2022,4.3039255
Bangladesh,BGD,2023,5.1257305
Belarus,BLR,1985,0.05913972
Belarus,BLR,1986,0.05913972
Belarus,BLR,1987,0.05913972
Belarus,BLR,1988,0.05913972
Belarus,BLR,1989,0.05913972
Belarus,BLR,1990,0.05913972
Belarus,BLR,1991,0.05322583
Belarus,BLR,1992,0.050268885
Belarus,BLR,1993,0.056182776
Belarus,BLR,1994,0.056182776
Belarus,BLR,1995,0.05913972
Belarus,BLR,1996,0.047311943
Belarus,BLR,1997,0.062096667
Belarus,BLR,1998,0.08279583
Belarus,BLR,1999,0.056182776
Belarus,BLR,2000,0.07983861
Belarus,BLR,2001,0.08813361
Belarus,BLR,2002,0.08464611
Belarus,BLR,2003,0.081203334
Belarus,BLR,2004,0.09800519
Belarus,BLR,2005,0.10594619
Belarus,BLR,2006,0.108819
Belarus,BLR,2007,0.1464851
Belarus,BLR,2008,0.29996726
Belarus,BLR,2009,0.55638576
Belarus,BLR,2010,0.78637743
Belarus,BLR,2011,0.7487688
Belarus,BLR,2012,0.85629714
Belarus,BLR,2013,0.9279843
Belarus,BLR,2014,0.89756286
Belarus,BLR,2015,0.9543609
Belarus,BLR,2016,1.1507889
Belarus,BLR,2017,2.119413
Belarus,BLR,2018,1.9231772
Belarus,BLR,2019,2.3502238
Belarus,BLR,2020,3.690179
Belarus,BLR,2021,18.115717
Belarus,BLR,2022,15.3486595
Belarus,BLR,2023,32.495094
Belgium,BEL,1965,0.8043011
Belgium,BEL,1966,0.90116477
Belgium,BEL,1967,0.9704897
Belgium,BEL,1968,0.8945936
Belgium,BEL,1969,0.74253273
Belgium,BEL,1970,0.8891578
Belgium,BEL,1971,0.39623666
Belgium,BEL,1972,0.56347084
Belgium,BEL,1973,1.0915922
Belgium,BEL,1974,1.4743876
Belgium,BEL,1975,20.055782
Belgium,BEL,1976,28.981567
Belgium,BEL,1977,35.32793
Belgium,BEL,1978,36.995205
Belgium,BEL,1979,34.06501
Belgium,BEL,1980,37.38768
Belgium,BEL,1981,38.543148
Belgium,BEL,1982,45.578354
Belgium,BEL,1983,69.464905
Belgium,BEL,1984,79.83569
Belgium,BEL,1985,99.1987
Belgium,BEL,1986,113.17518
Belgium,BEL,1987,120.82158
Belgium,BEL,1988,123.96238
Belgium,BEL,1989,118.486145
Belgium,BEL,1990,122.93177
Belgium,BEL,1991,123.273994
Belgium,BEL,1992,125.19431
Belgium,BEL,1993,120.52531
Belgium,BEL,1994,117.10303
Belgium,BEL,1995,119.39904
Belgium,BEL,1996,124.69927
Belgium,BEL,1997,136.3243
Belgium,BEL,1998,133.32266
Belgium,BEL,1999,141.71657
Belgium,BEL,2000,139.86691
Belgium,BEL,2001,133.97198
Belgium,BEL,2002,136.16945
Belgium,BEL,2003,135.56052
Belgium,BEL,2004,135.46404
Belgium,BEL,2005,137.33087
Belgium,BEL,2006,136.53258
Belgium,BEL,2007,141.66287
Belgium,BEL,2008,136.56204
Belgium,BEL,2009,144.84138
Belgium,BEL,2010,152.09767
Belgium,BEL,2011,156.78575
Belgium,BEL,2012,141.28006
Belgium,BEL,2013,149.85114
Belgium,BEL,2014,127.65775
Belgium,BEL,2015,112.147705
Belgium,BEL,2016,157.8028
Belgium,BEL,2017,158.39917
Belgium,BEL,2018,126.44328
Belgium,BEL,2019,169.74722
Belgium,BEL,2020,158.91568
Belgium,BEL,2021,196.83633
Belgium,BEL,2022,184.98788
Belgium,BEL,2023,162.49911
Brazil,BRA,1965,75.447586
Brazil,BRA,1966,82.51774
Brazil,BRA,1967,86.311554
Brazil,BRA,1968,90.33602
Brazil,BRA,1969,96.66989
Brazil,BRA,1970,122.93911
Brazil,BRA,1971,133.2507
Brazil,BRA,1972,156.45473
Brazil,BRA,1973,177.15948
Brazil,BRA,1974,200.06517
Brazil,BRA,1975,219.73415
Brazil,BRA,1976,250.88127
Brazil,BRA,1977,286.41428
Brazil,BRA,1978,319.62863
Brazil,BRA,1979,366.2914
Brazil,BRA,1980,406.40073
Brazil,BRA,1981,410.46942
Brazil,BRA,1982,449.0857
Brazil,BRA,1983,493.07523
Brazil,BRA,1984,550.5192
Brazil,BRA,1985,600.92914
Brazil,BRA,1986,619.4774
Brazil,BRA,1987,633.2858
Brazil,BRA,1988,675.16
Brazil,BRA,1989,701.3846
Brazil,BRA,1990,703.7015
Brazil,BRA,1991,735.9059
Brazil,BRA,1992,754.7505
Brazil,BRA,1993,789.9953
Brazil,BRA,1994,818.5549
Brazil,BRA,1995,862.80286
Brazil,BRA,1996,904.1171
Brazil,BRA,1997,943.9596
Brazil,BRA,1998,981.0461
Brazil,BRA,1999,990.6029
Brazil,BRA,2000,1017.4429
Brazil,BRA,2001,926.51013
Brazil,BRA,2002,983.0529
Brazil,BRA,2003,1034.5082
Brazil,BRA,2004,1077.6101
Brazil,BRA,2005,1122.3636
Brazil,BRA,2006,1159.9927
Brazil,BRA,2007,1258.6993
Brazil,BRA,2008,1290.7198
Brazil,BRA,2009,1363.8932
Brazil,BRA,2010,1435.59
Brazil,BRA,2011,1489.4459
Brazil,BRA,2012,1456.8046
Brazil,BRA,2013,1427.4624
Brazil,BRA,2014,1424.5
Brazil,BRA,2015,1446.0482
Brazil,BRA,2016,1515.8457
Brazil,BRA,2017,1517.1818
Brazil,BRA,2018,1618.8602
Brazil,BRA,2019,1694.5099
Brazil,BRA,2020,1688.246
Brazil,BRA,2021,1640.6549
Brazil,BRA,2022,1858.9628
Brazil,BRA,2023,1975.7981
Bulgaria,BGR,1965,5.9139786
Bulgaria,BGR,1966,5.943548
Bulgaria,BGR,1967,5.9790325
Bulgaria,BGR,1968,3.8588707
Bulgaria,BGR,1969,5.437903
Bulgaria,BGR,1970,6.363441
Bulgaria,BGR,1971,6.4166665
Bulgaria,BGR,1972,6.1948924
Bulgaria,BGR,1973,7.599462
Bulgaria,BGR,1974,8.7837515
Bulgaria,BGR,1975,14.500507
Bulgaria,BGR,1976,22.891308
Bulgaria,BGR,1977,27.131153
Bulgaria,BGR,1978,25.371593
Bulgaria,BGR,1979,27.326431
Bulgaria,BGR,1980,28.47258
Bulgaria,BGR,1981,36.573685
Bulgaria,BGR,1982,39.510754
Bulgaria,BGR,1983,44.86729
Bulgaria,BGR,1984,45.77554
Bulgaria,BGR,1985,43.87419
Bulgaria,BGR,1986,41.126762
Bulgaria,BGR,1987,42.789215
Bulgaria,BGR,1988,53.161705
Bulgaria,BGR,1989,49.288498
Bulgaria,BGR,1990,46.432045
Bulgaria,BGR,1991,44.116245
Bulgaria,BGR,1992,38.406124
Bulgaria,BGR,1993,44.93273
Bulgaria,BGR,1994,47.345547
Bulgaria,BGR,1995,55.406837
Bulgaria,BGR,1996,59.847725
Bulgaria,BGR,1997,58.42356
Bulgaria,BGR,1998,57.02321
Bulgaria,BGR,1999,52.95096
Bulgaria,BGR,2000,59.360184
Bulgaria,BGR,2001,59.971943
Bulgaria,BGR,2002,62.81609
Bulgaria,BGR,2003,56.7752
Bulgaria,BGR,2004,55.545044
Bulgaria,BGR,2005,63.571667
Bulgaria,BGR,2006,65.2691
Bulgaria,BGR,2007,47.866173
Bulgaria,BGR,2008,50.77107
Bulgaria,BGR,2009,51.22428
Bulgaria,BGR,2010,56.809532
Bulgaria,BGR,2011,54.134933
Bulgaria,BGR,2012,56.914856
Bulgaria,BGR,2013,57.223763
Bulgaria,BGR,2014,62.625427
Bulgaria,BGR,2015,65.1391
Bulgaria,BGR,2016,61.43191
Bulgaria,BGR,2017,58.12027
Bulgaria,BGR,2018,68.48584
Bulgaria,BGR,2019,64.66789
Bulgaria,BGR,2020,64.44167
Bulgaria,BGR,2021,71.83132
Bulgaria,BGR,2022,69.79209
Bulgaria,BGR,2023,70.23237
CIS (EI),,1965,246.07886
CIS (EI),,1966,277.37585
CIS (EI),,1967,268.29892
CIS (EI),,1968,316.5361
CIS (EI),,1969,350.89697
CIS (EI),,1970,380.23376
CIS (EI),,1971,388.1598
CIS (EI),,1972,391.31277
CIS (EI),,1973,402.37772
CIS (EI),,1974,451.3061
CIS (EI),,1975,453.73944
CIS (EI),,1976,509.62573
CIS (EI),,1977,579.51953
CIS (EI),,1978,650.6677
CIS (EI),,1979,677.8363
CIS (EI),,1980,753.66113
CIS (EI),,1981,799.3155
CIS (EI),,1982,800.9905
CIS (EI),,1983,849.4146
CIS (EI),,1984,1008.26355
CIS (EI),,1985,870.69006
CIS (EI),,1986,883.5884
CIS (EI),,1987,948.59546
CIS (EI),,1988,1002.1375
CIS (EI),,1989,979.6793
CIS (EI),,1990,960.5768
CIS (EI),,1991,967.46277
CIS (EI),,1992,979.65924
CIS (EI),,1993,997.8039
CIS (EI),,1994,948.08325
CIS (EI),,1995,935.1592
CIS (EI),,1996,904.27686
CIS (EI),,1997,898.50116
CIS (EI),,1998,885.7217
CIS (EI),,1999,952.6446
